N: 20; d: 20
Valid 1: 0.76092 	 r2: 0.15059
Train 2: 0.78987 	 r2: 0.20402
Valid 2: 0.78054 	 r2: 0.18427
Train 3: 0.81847 	 r2: 0.24694
Valid 3: 0.80760 	 r2: 0.22711
Train 4: 0.83376 	 r2: 0.27155
Valid 4: 0.81637 	 r2: 0.24482
Train 5: 0.84118 	 r2: 0.28505
Valid 5: 0.81963 	 r2: 0.24915
Train 6: 0.84427 	 r2: 0.29148
Valid 6: 0.81914 	 r2: 0.24755
Train 7: 0.84812 	 r2: 0.29993
Valid 7: 0.82023 	 r2: 0.25249
Train 8: 0.85301 	 r2: 0.31058
Valid 8: 0.82174 	 r2: 0.25316
Train 9: 0.85573 	 r2: 0.31669
Valid 9: 0.82171 	 r2: 0.24712
Train 10: 0.85574 	 r2: 0.31698
Valid 10: 0.81948 	 r2: 0.24618
Train 11: 0.85696 	 r2: 0.31953
Valid 11: 0.81847 	 r2: 0.23977
Train 12: 0.85954 	 r2: 0.32545
Valid 12: 0.81991 	 r2: 0.24364
Train 13: 0.86364 	 r2: 0.33471
Valid 13: 0.82079 	 r2: 0.24888
Finish: (0.8217427815720169, 0.25315828827695785)
Test 14: 0.83463 	 r2: 0.26900
Train 1: 0.71769 	 r2: 0.11062
Valid 1: 0.75943 	 r2: 0.14935
Train 2: 0.78712 	 r2: 0.19938
Valid 2: 0.77202 	 r2: 0.16878
Train 3: 0.81220 	 r2: 0.23790
Valid 3: 0.80418 	 r2: 0.21697
Train 4: 0.82986 	 r2: 0.26548
Valid 4: 0.81434 	 r2: 0.24003
Train 5: 0.83864 	 r2: 0.28016
Valid 5: 0.81681 	 r2: 0.24428
Train 6: 0.84344 	 r2: 0.28918
Valid 6: 0.81866 	 r2: 0.24696
Train 7: 0.84665 	 r2: 0.29571
Valid 7: 0.81930 	 r2: 0.24919
Train 8: 0.85066 	 r2: 0.30429
Valid 8: 0.82029 	 r2: 0.25167
Train 9: 0.85417 	 r2: 0.31257
Valid 9: 0.82034 	 r2: 0.24803
Train 10: 0.85798 	 r2: 0.32175
Valid 10: 0.81896 	 r2: 0.24126
Train 11: 0.85721 	 r2: 0.32081
Valid 11: 0.81635 	 r2: 0.22760
Train 12: 0.86137 	 r2: 0.33010
Valid 12: 0.81883 	 r2: 0.24048
Train 13: 0.86583 	 r2: 0.34069
Valid 13: 0.81751 	 r2: 0.23543
Train 14: 0.86789 	 r2: 0.34540
Valid 14: 0.81706 	 r2: 0.23102
Finish: (0.820336754042267, 0.24802949496614912)
Test 15: 0.83276 	 r2: 0.26401
N: 30; d: 20
Train 1: 0.64191 	 r2: 0.03539
Valid 1: 0.75386 	 r2: 0.10456
Train 2: 0.77993 	 r2: 0.18227
Valid 2: 0.76320 	 r2: 0.16337
Train 3: 0.79985 	 r2: 0.21824
Valid 3: 0.77670 	 r2: 0.17845
Train 4: 0.81577 	 r2: 0.24370
Valid 4: 0.79460 	 r2: 0.20399
Train 5: 0.82526 	 r2: 0.25823
Valid 5: 0.80550 	 r2: 0.22280
Train 6: 0.83175 	 r2: 0.26886
Valid 6: 0.81025 	 r2: 0.22653
Train 7: 0.83604 	 r2: 0.27630
Valid 7: 0.81406 	 r2: 0.23514
Train 8: 0.84018 	 r2: 0.28381
Valid 8: 0.81666 	 r2: 0.24423
Train 9: 0.84437 	 r2: 0.29176
Valid 9: 0.81830 	 r2: 0.24731
Train 10: 0.84751 	 r2: 0.29818
Valid 10: 0.81950 	 r2: 0.24979
Train 11: 0.85070 	 r2: 0.30506
Valid 11: 0.82015 	 r2: 0.25006
Train 12: 0.85321 	 r2: 0.31072
Valid 12: 0.82016 	 r2: 0.25137
Train 13: 0.85521 	 r2: 0.31516
Valid 13: 0.81948 	 r2: 0.25001
Train 14: 0.85629 	 r2: 0.31755
Valid 14: 0.81846 	 r2: 0.24799
Train 15: 0.85727 	 r2: 0.31998
Valid 15: 0.81652 	 r2: 0.23543
Train 16: 0.85339 	 r2: 0.31180
Valid 16: 0.81957 	 r2: 0.24813
Train 17: 0.85533 	 r2: 0.31577
Valid 17: 0.81851 	 r2: 0.24354
Finish: (0.8201594664383548, 0.25136702902079144)
Test 18: 0.83236 	 r2: 0.26569
Train 1: 0.68024 	 r2: 0.07696
Valid 1: 0.75737 	 r2: 0.14127
Train 2: 0.78927 	 r2: 0.19916
Valid 2: 0.76231 	 r2: 0.16572
Train 3: 0.79635 	 r2: 0.21539
Valid 3: 0.77045 	 r2: 0.17682
Train 4: 0.80903 	 r2: 0.23355
Valid 4: 0.78811 	 r2: 0.18801
Train 5: 0.82144 	 r2: 0.25187
Valid 5: 0.80696 	 r2: 0.21976
Train 6: 0.83096 	 r2: 0.26668
Valid 6: 0.81231 	 r2: 0.23123
Train 7: 0.83578 	 r2: 0.27492
Valid 7: 0.81484 	 r2: 0.23526
Train 8: 0.83873 	 r2: 0.28027
Valid 8: 0.81609 	 r2: 0.23902
Train 9: 0.84158 	 r2: 0.28570
Valid 9: 0.81723 	 r2: 0.24463
Train 10: 0.84448 	 r2: 0.29139
Valid 10: 0.81837 	 r2: 0.24826
Train 11: 0.84682 	 r2: 0.29613
Valid 11: 0.81906 	 r2: 0.24922
Train 12: 0.84888 	 r2: 0.30039
Valid 12: 0.81972 	 r2: 0.25108
